Time,City_Name,Healthy,Zombies,Dead,Civil,Military,Medics
1683570859.8429172,Gulans Town,366,17,0,340,14,12
1683570859.8429172,Mackers City,516,59,6,473,31,12
1683570859.8439107,Zeidel Borough,337,30,38,306,19,12
1683570859.9061067,Albono Hills,169,13,0,161,6,2
1683570859.9221654,Nogales Village,384,15,0,357,19,8
1683570859.9531653,Gulans Town,365,18,0,339,14,12
1683570859.9701545,Mackers City,516,59,6,473,31,12
1683570859.9711528,Zeidel Borough,337,30,38,306,19,12
1683570860.0166156,Albono Hills,169,13,0,161,6,2
1683570860.0326273,Nogales Village,383,16,0,356,19,8
1683570860.0617929,Gulans Town,365,18,0,339,14,12
1683570860.07798,Mackers City,513,62,6,470,31,12
1683570860.094055,Zeidel Borough,334,33,38,304,19,11
1683570860.1412597,Albono Hills,169,13,0,161,6,2
1683570860.157274,Nogales Village,383,16,0,356,19,8
1683570860.1718657,Gulans Town,363,20,0,337,14,12
1683570860.1879191,Mackers City,512,63,6,469,31,12
1683570860.2029562,Zeidel Borough,334,33,38,304,19,11
1683570860.2644975,Albono Hills,169,13,0,161,6,2
1683570860.2797194,Nogales Village,383,16,0,356,19,8
1683570860.2957082,Gulans Town,363,20,0,337,14,12
1683570860.3107226,Mackers City,511,64,6,468,31,12
1683570860.3276987,Zeidel Borough,333,34,38,303,19,11
1683570860.3747597,Albono Hills,168,14,0,160,6,2
1683570860.3888016,Nogales Village,382,17,0,355,19,8
1683570860.406012,Gulans Town,362,21,0,336,14,12
1683570860.4201488,Mackers City,511,64,6,468,31,12
1683570860.4352427,Zeidel Borough,333,34,38,303,19,11
1683570860.4833176,Albono Hills,167,15,0,159,6,2
1683570860.5173156,Nogales Village,381,18,0,354,19,8
1683570860.5173156,Gulans Town,361,22,0,335,14,12
1683570860.531327,Mackers City,509,66,6,466,31,12
1683570860.5463243,Zeidel Borough,332,35,38,302,19,11
1683570860.594312,Albono Hills,166,16,0,158,6,2
1683570860.6393902,Gulans Town,360,23,0,334,14,12
1683570860.6433938,Nogales Village,380,19,0,353,19,8
1683570860.6444073,Mackers City,506,69,6,463,31,12
1683570860.6691751,Zeidel Borough,331,36,38,301,19,11
1683570860.7175431,Albono Hills,166,16,0,158,6,2
1683570860.7483997,Gulans Town,360,23,0,334,14,12
1683570860.7653942,Nogales Village,379,20,0,352,19,8
1683570860.769395,Mackers City,504,71,6,461,31,12
1683570860.7793965,Zeidel Borough,331,36,38,301,19,11
1683570860.8397622,Albono Hills,166,16,0,158,6,2
1683570860.8721063,Gulans Town,360,23,0,334,14,12
1683570860.8891046,Nogales Village,376,23,0,350,18,8
1683570860.8891046,Zeidel Borough,330,37,38,300,19,11
1683570860.8901074,Mackers City,504,71,6,461,31,12
1683570860.9515293,Albono Hills,166,16,0,158,6,2
1683570860.9835386,Gulans Town,360,23,0,334,14,12
1683570861.0133276,Nogales Village,376,23,0,350,18,8
1683570861.017329,Mackers City,504,71,6,461,31,12
1683570861.0183337,Zeidel Borough,329,38,38,300,18,11
1683570861.0600083,Albono Hills,166,16,0,158,6,2
1683570861.1064014,Gulans Town,360,23,0,334,14,12
1683570861.1224022,Nogales Village,375,24,0,349,18,8
